"PlotID","ID","Plot","Block","Row","Range","Weight","Height","Maturity","Yield","TuberSet","Red","Green","Blue","NGRDI","BGI","GLI","VARI","myIndex.1","myIndex.2"
"121",6,121,2,9,9,6.565,28.5,4,439.2868174,6.8,42.7136142061281,64.6765102715877,33.7089680536212,0.209560500635596,0.521754281877234,0.260291720888413,0.304050804877135,-0.765598630187548,3.88770618205581
"122",5,122,2,10,9,3.84,27,5,429.8235652,11.26666667,43.5659648658192,62.3134379413842,34.4046499823446,0.184227466605364,0.551330631844159,0.234587104718744,0.272561342776377,-0.814273961243021,3.65369781651427
"123",4,123,2,11,9,4.69,30,5,551.8930248,12,43.9736510093168,63.4649165372671,34.2010505628882,0.189241144057778,0.538062612539047,0.242636818060718,0.276493603648169,-0.773965865953508,3.75493503132182
"124",3,124,2,12,9,4.74,31.5,6,281.3407826,5.692307692,72.6316784274194,81.3602570564516,50.8579889112903,0.0618520557711911,0.621196956449874,0.141605240126412,0.0913227064500761,-0.710212139922067,3.23702473577924
"125",2,125,2,13,9,3.4,20.5,6,482.4301565,13.86666667,44.6066602790881,64.7880552279874,34.2180129716981,0.187345302844062,0.529825721292638,0.24466551108482,0.271937988061226,-0.736069029392596,3.80906071094315
"126",1,126,2,14,9,3.51,43,8,574.0702957,16.33333333,42.6218255277045,62.1888501813984,34.1932202341689,0.192884519450202,0.548718373772725,0.240455773696308,0.285141692457169,-0.827277495084996,3.67851423509104
"71",43,71,2,14,6,3.53,31.5,4,404.382,11.2,53.4743808178191,69.3719664228723,39.2197473404255,0.135301158719932,0.564335303629731,0.202935116024424,0.197763849767185,-0.722355177878351,3.57246690364103
"72",44,72,2,13,6,2.63,35.5,5,419.5901217,14.93333333,51.9797122035573,72.2847084980237,38.4688580780632,0.168694039663925,0.532026122857767,0.233931142373615,0.242306225754922,-0.690648681485346,3.81036348090604
"73",45,73,2,12,6,4.945,28.5,5,493.0676348,10.46666667,50.1921356327801,65.5328546421162,37.3215767634855,0.141403934928515,0.56766146491835,0.205238629531283,0.207567708438953,-0.752138922771179,3.56072011130029
"74",46,74,2,11,6,3.9,24.5,5,585.2443826,14.2,42.6371716485507,64.633689990942,33.7928272192029,0.208917018497157,0.524137013944391,0.258656871636638,0.304569997567961,-0.775553283326191,3.84875966436031
"75",47,75,2,10,6,4.42,35,4,530.8070087,10.86666667,41.3445712002841,60.8286021839489,34.4582075639205,0.195512027568981,0.567553791542556,0.234428230287198,0.295134808526983,-0.912139425923493,3.54607830203656
"76",48,76,2,9,6,3.81,32.5,7,476.5969043,11.93333333,47.2097336871069,66.7734743514151,37.9676690251572,0.179514469680095,0.566383122136544,0.226288150896427,0.268620462923629,-0.859477162219961,3.55689502136927
"77",49,77,2,8,6,3.53,25.5,6,525.8260174,13.86666667,48.9404008880697,72.8737642426273,36.8696171246649,0.199179106524117,0.508321604229346,0.259929319603352,0.284114585100091,-0.682822433830719,3.98563340363556
"78",50,78,2,7,6,2.84,19.5,5,438.5166261,14.33333333,43.2238307944191,64.5526587414579,35.5287763382688,0.204876210568631,0.549111651718196,0.246839690610861,0.304284492749063,-0.863044580742528,3.67665086698875
"79",51,79,2,6,6,4.14,21,4,448.5480522,10.4,50.148965747331,73.3893043816726,40.7536838300712,0.191507606111413,0.557162819120146,0.236371509078957,0.285313807583326,-0.856191304661604,3.6203257073959
"80",52,80,2,5,6,3.84,18.5,5,547.1514783,13.53846154,48.3472055288462,69.1830337631119,37.2072770979021,0.185310641276299,0.537381608442069,0.240733752120351,0.270169991413285,-0.759906520289563,3.75915792190108
"81",53,81,2,4,6,4.49,43,5,569.8153043,12.66666667,42.387940058933,62.4918385545906,33.6028904311414,0.197343759480347,0.539688168464206,0.24650739983538,0.28972623989804,-0.805276749502571,3.74502304737387
"82",54,82,2,3,6,3.465,23.5,5,407.1913043,11.2,45.711453125,60.112125,34.06603125,0.150118650694343,0.560234398256531,0.213044408606953,0.219002301792284,-0.746949383562867,3.61869975183309
"83",55,83,2,2,6,5.92,32.5,6,559.6513043,9.333333333,47.904044858871,67.2019909274194,38.2671748991935,0.177028238138144,0.567419569198687,0.224864838575095,0.26379358957504,-0.855273141768124,3.56019133692026
"84",56,84,2,1,6,6.28,20.5,4,447.6642261,7.2,56.4785321769068,73.6183957891949,41.4667141154661,0.138148727018189,0.561906729803703,0.205638224550399,0.201060661461491,-0.719011070379856,3.59965274064705
"85",42,85,2,1,7,5.82,27.5,5,522.3006335,9.071428571,50.5104954403915,73.2933440836299,40.2073787811388,0.188716901877631,0.548342548823065,0.238420318785156,0.278219677777072,-0.815550039180791,3.68109930103791
"86",41,86,2,2,7,4.64,22.5,4,622.5923478,13.26666667,43.0736728162651,67.2944465361446,34.5583490210843,0.226216529466359,0.512715550931119,0.2728535939846,0.327872703895018,-0.776546116561773,3.94467180979774
"87",40,87,2,3,7,4.445,32,7,511.83,11.86666667,43.782253440367,61.3337992163609,35.1758648700306,0.17409784977878,0.572705727646189,0.221164124207432,0.261157574169771,-0.872472717347611,3.5181136738779
"88",39,88,2,4,7,4.205,25,6,539.5000696,12.4,46.0749920685279,71.3308217005076,36.571680678934,0.220707447115296,0.513700857612928,0.269369230940394,0.319532069253417,-0.764350804995656,3.93429143975791
"89",38,89,2,5,7,3.13,17,4,371.6488696,12.13333333,44.8667725874352,64.6761658031088,35.2186589216321,0.191519027813433,0.541437559889728,0.24286114158778,0.280260599782055,-0.793979545228905,3.74353339237494
"90",37,90,2,6,7,4.02,19,5,563.7029255,12.92857143,47.3662401370432,65.7696480481728,37.4532937084718,0.171998120223658,0.568934264111091,0.221499828189183,0.256337078231708,-0.847004052378642,3.54853902459348
"91",36,91,2,7,7,5.31,20.5,5,405.9539478,7.466666667,55.8429837740385,73.2171724759615,39.9020132211538,0.142243469458237,0.541205036495751,0.215781847166781,0.203299843205425,-0.649471177218479,3.74920021228807
"92",35,92,2,8,7,4.045,19.5,3,502.2386832,12.28571429,48.9111351656626,72.9358245481928,37.5445689006024,0.200565211964489,0.515821724274992,0.257367802906453,0.289245540572636,-0.719301791528143,3.90840324002675
"93",34,93,2,9,7,4.03,21.5,5,485.3404696,12.2,47.488529265873,66.435546875,38.5539279513889,0.173561014371149,0.580037665957813,0.218119090464027,0.261993931918424,-0.898674200753906,3.47472764686019
"94",33,94,2,10,7,4.405,32,5,490.769687,11.2,42.957524896978,61.7706151270604,35.1350661057692,0.185385219785025,0.568088003695354,0.22878376051697,0.278821953291289,-0.885303756299597,3.54169506283433
"95",32,95,2,11,7,3.6,37.5,5,484.2925043,12.26666667,46.2798129180602,64.7094873536789,35.5935540342809,0.173715253994072,0.5494888120393,0.22999750565345,0.254049158919808,-0.774009196003371,3.68723768556384
"96",31,96,2,12,7,4.99,23.5,5,374.4739565,7.214285714,52.6487662438119,71.6607557240099,38.9054184715347,0.159785972652326,0.541003410337723,0.225349828496222,0.231037869803156,-0.701519569434998,3.73495948405322
"97",30,97,2,13,7,5.085,30.5,6,590.2582919,11.57142857,42.5476849573491,63.7961368110236,33.994750656168,0.202098995812795,0.53437860446097,0.251023836251114,0.296110382648624,-0.795430227687071,3.78161408430235
"98",29,98,2,14,7,4.38,19,4,541.5711988,12.5,44.1568772810219,64.3339225973236,36.6618289993917,0.190917173444229,0.570965533242763,0.230828273598142,0.28809902614534,-0.912620226878775,3.52924255460016
"99",15,99,2,14,8,4.28,24,5,545.7689217,11.93333333,43.7302445241692,64.1032264916918,33.976586102719,0.19432452315646,0.530489211404187,0.248366535094664,0.282742114504181,-0.759739570984639,3.80742203034629
"1",70,1,1,1,1,4.25,21,4,445.8839478,9.733333333,52.3276469624126,73.7378988199301,38.6885926573427,0.175312257793226,0.52550511735348,0.2401379793294,0.251042887550458,-0.684127989462794,3.8570457196741
"10",61,10,1,10,1,5.86,27.5,7,379.1298261,6.4,50.4716757338057,65.8113297064777,38.2664789979757,0.139509348159893,0.579139667274235,0.200137320985456,0.206390106032542,-0.793136563640087,3.49040831222678
"11",60,11,1,11,1,3.06,21.5,4,497.8402957,15.53333333,47.2815504807692,68.8104967948718,35.8698918269231,0.18841674073868,0.523104392678383,0.248498975998329,0.270249745653951,-0.711454659052846,3.88400425483345
"12",59,12,1,12,1,4.315,60,5,568.2496696,12.73333333,45.7332367549669,70.807636589404,36.5801298634106,0.211982870970535,0.521411441635257,0.261626595530299,0.308259023045985,-0.775750979045699,3.87276481839772
"13",58,13,1,13,1,2.55,19,6,392.772313,14.4,48.7514969206204,70.5307510264599,38.1343094206204,0.181849202369457,0.542898398289795,0.236535820357155,0.266974034307781,-0.778278047681511,3.70501177436432
"14",57,14,1,14,1,6.05,16,3,449.4823826,7.733333333,40.6610402331804,64.5879204892966,34.2931957186544,0.224725233122117,0.53534965328691,0.263097764298254,0.332289390675234,-0.864853068317937,3.78267803825129
"15",43,15,1,14,2,5.05,69,4,576.6649565,11.4,44.6079742164723,65.0600400874636,35.4819264759475,0.186504714413793,0.548744167819045,0.236902887899617,0.275481538654644,-0.812365579179765,3.67209514970109
"16",44,16,1,13,2,2.67,16,3,279.4847478,9.6,53.6194273222477,70.7365610665138,39.0343499139908,0.146564445129246,0.548343620752676,0.215326295743943,0.211705477754693,-0.691295784592691,3.68778533235857
"17",45,17,1,12,2,2.945,30,5,381.3898957,11.8,56.4549702837423,74.8337327453988,41.9943203604294,0.146105031810417,0.560709475946715,0.210523134090811,0.21303264224259,-0.737167289202123,3.60773625047341
"18",46,18,1,11,2,5.08,28,3,615.2629043,13.33333333,37.2335591376582,59.8300946070675,29.4425599947257,0.230293988602867,0.497202320535443,0.281443628992472,0.329473664842772,-0.725086777178907,4.07258514275779
"19",47,19,1,10,2,4.83,12.5,5,306.8612609,5.428571429,56.0536830357143,72.2588616071429,41.2528348214286,0.134535624776135,0.567615572172952,0.201576365721734,0.196339745119363,-0.730523098360916,3.5645377870538
"2",69,2,1,2,1,5.33,14.5,5,475.9908522,9.133333333,51.5641561586257,70.0400561951754,37.3071089181287,0.161174315272361,0.529057839222579,0.231227049819507,0.229197804285182,-0.655560918632025,3.84853355439775
"20",48,20,1,9,2,5.49,31,5,359.7706355,6.615384615,71.9260110294118,85.223268995098,52.4390318627451,0.0910714989412552,0.611969586598262,0.161671602210302,0.134809071287496,-0.771407096480693,3.29863486391798
"21",49,21,1,8,2,5.27,18.5,2,431.6543478,8.266666667,45.8906929347826,69.7695991847826,36.4475430253623,0.211960930316771,0.524162865887172,0.2607563673089,0.308206337061156,-0.783912012339912,3.86665056893181
"22",50,22,1,7,2,4.64,19,3,515.9966087,11.07142857,45.2490645559211,68.1235505756579,37.6526726973684,0.204278814179442,0.553581328575783,0.244668054295948,0.305100365133228,-0.881283840528187,3.64087098547666
"23",51,23,1,6,2,3.94,24,3,398.2457217,9.6,51.8813380821078,65.3444584865196,37.7021484375,0.12763778884964,0.570044812709484,0.196836858313828,0.186071668719828,-0.718303037531803,3.55141571590803
"24",52,24,1,5,2,5.16,55,3,601.3173913,12.2,42.6416214923469,64.6301120057398,36.0430185746173,0.211193837147132,0.558940327812587,0.246253373199572,0.317878863525298,-0.919020740516495,3.61002728135504
"25",53,25,1,4,2,2.775,21.5,4,323.6832671,10.78571429,52.2469522664835,70.3520776098901,40.1703582875458,0.160433576738668,0.566316721166879,0.216275926205638,0.237020802545464,-0.803322756732649,3.56732531568948
"26",54,26,1,3,2,4.98,17.5,4,456.4204174,9.133333333,49.0800083705357,69.7201683407738,39.1882207961309,0.181596470763121,0.560431618518156,0.229930106193065,0.269768234545407,-0.843100137405817,3.59930758448661
"27",55,27,1,2,2,3.81,40.5,5,608.817287,15.93333333,43.4516474586288,64.7879174054374,36.1240395981087,0.202428361303042,0.558752010722718,0.241860140174779,0.302801262885109,-0.89384834501787,3.61675353149306
"28",56,28,1,1,2,2.58,41.5,5,411.1432696,14.8,42.8524834857724,61.23308350271,35.601446053523,0.186812980605558,0.579329883929147,0.225419588461995,0.283459768145545,-0.931676223282251,3.4786615773516
"29",42,29,1,1,3,3.39,25,5,398.7444522,12,47.4521543560606,65.7779356060606,37.7081439393939,0.170323314306984,0.571546988244954,0.219719359976411,0.254035369697465,-0.851971402476879,3.53824324247829
"3",68,3,1,3,1,3.76,37.5,5,468.1626783,12.2,50.7644090466926,70.1766020184825,38.6429201118677,0.168289567501961,0.548646220370286,0.227589618151601,0.244754203663685,-0.755733905730557,3.70133370919447
"30",41,30,1,2,3,3.265,28.5,5,325.8666783,8.266666667,63.688446969697,78.7003314393939,44.6609611742424,0.112064851831053,0.562940933846505,0.190953306934235,0.160390331571962,-0.641756619787591,3.61456060211314
"31",40,31,1,3,3,2.66,20.5,4,495.8011826,17.86666667,42.7340338427948,65.9615004093886,34.6408382232533,0.220576240648554,0.523893722821146,0.26525340005878,0.322524928785845,-0.807301384383418,3.85647490735713
"32",39,32,1,4,3,4.05,34,2,435.9850957,10.8,47.820080841002,73.5413790899796,36.3558681620654,0.212998121721727,0.497968537174153,0.271382421490574,0.303807634012541,-0.682875797306823,4.05120761957728
"33",38,33,1,5,3,4.265,28,6,443.9710957,9.866666667,40.814562360179,62.3701674356823,33.4021427572707,0.215020226474254,0.536081331945968,0.257218092057334,0.317550115811497,-0.839009644478669,3.76378858464885
"34",37,34,1,6,3,3.69,28.5,4,434.2363826,11.66666667,44.7126736111111,69.0619097222222,36.3511631944444,0.218864091491093,0.525405772456288,0.263735995914188,0.320078767703206,-0.80747918968174,3.84853610250527
"35",36,35,1,7,3,3.31,22.5,6,438.352487,12.73333333,44.3910178072626,62.6408323149441,36.4502880586592,0.177693875305215,0.58184734268078,0.219668550329407,0.269023704983028,-0.917811419600594,3.46204509810946
"36",35,36,1,8,3,2.83,21,4,316.1698435,10.53333333,56.6707182949029,76.5531705097087,41.3797595570388,0.157453831619922,0.53764488055826,0.225632063187228,0.2260460171284,-0.681412685069843,3.770908740475
"37",34,37,1,9,3,4.25,19.5,5,710.8802609,16.5,43.5396517108939,64.2149201291899,34.1531075418994,0.199628378837228,0.530326011245036,0.251499539485873,0.290418063505489,-0.772690004185118,3.81601374000668
"38",33,38,1,10,3,2.635,25.5,4,397.2482609,13.35714286,50.4795178865132,66.2712016858553,39.4393246299342,0.143654419072789,0.594524275154773,0.196772299113654,0.215709756163455,-0.862247051434717,3.39979030843207
"39",32,39,1,11,3,4.77,24,5,487.8467478,10.26666667,46.1154406601124,67.2844013342697,40.352808988764,0.19198363563691,0.598429700328997,0.221027359874921,0.297512089351214,-1.02557516200423,3.36530258325607
"4",67,4,1,4,1,3.99,12.5,4,341.1316174,8.733333333,47.382708679402,66.7986010174419,37.3434774709302,0.180008513022124,0.555883400957476,0.231133440811574,0.265199314595203,-0.819136506811267,3.64397912774039
"40",31,40,1,12,3,3.97,21.5,4,499.0145217,12.06666667,44.6949987015235,68.4790945290859,35.452670533241,0.212059433740572,0.519694023488109,0.262227953984229,0.308053655352489,-0.767169256816892,3.88406971101
"41",30,41,1,13,3,4.53,18.5,4,552.7637739,11.06666667,37.7636082848837,56.6361010174419,33.0325308866279,0.201354796489591,0.584537732283868,0.231043156855896,0.3099362181298,-0.998528627281803,3.43915648810456
